Word, Count
bind, 51
weary, 51
thorns, 51
pillar, 51
afar, 51
mourning, 51
wheat, 51
canst, 51
coasts, 51
remembrance, 51
transgression, 51
talents, 51
cedar, 51
doings, 51
trumpets, 51
doctrine, 51
decree, 51
terror, 50
stayed, 50
voices, 50
desert, 50
tip, 50
forehead, 50
trembling, 50
flat, 50
imagine, 50
stepped, 50
beaten, 50
pink, 50
viktor, 50
ahead, 50
beat, 50
palace, 50
fellow, 50
tea, 50
posts, 50
scatter, 50
naked, 50
sprout, 50
spider, 50
heal, 50
snow, 50
shield, 50
desired, 50
builded, 50
camels, 50
tender, 50
weep, 50
simeon, 50
naphtali, 50
glorified, 50
prophesied, 50
rehoboam, 50
confounded, 50
vogon, 50
step, 49
nervously, 49
fetch, 49
reading, 49
famous, 49
azkaban, 49
grow, 49
train, 49
aren, 49
conversation, 49
spotted, 49
angrily, 49
falling, 49
laughed, 49
pulling, 49
68, 49
69, 49
sending, 49
barty, 49
repaired, 49
thrown, 49
discovered, 49
heap, 49
e, 49
spear, 49
eternal, 49
created, 49
wroth, 49
prosper, 49
staves, 49
beauty, 49
parable, 49
witnesses, 49
joash, 49
azariah, 49
marvin, 49
maid, 48
punish, 48
lit, 48
notice, 48
curtains, 48
picture, 48
feeble, 48
refuge, 48
pot, 48
lives, 48
kindly, 48
higher, 48
pull, 48
revealed, 48
shoulders, 48
crying, 48
105, 48
corners, 48
chains, 48
wonderful, 48
merciful, 48
conceived, 48
sodom, 48
sinners, 48
ishmael, 48
kindness, 48
damsel, 48
transgressions, 48
gibeah, 48
measured, 48
apparently, 47
excited, 47
information, 47
dangerous, 47
perfectly, 47
refused, 47
nervous, 47
eating, 47
spent, 47
62, 47
members, 47
hurry, 47
attention, 47
pretty, 47
lions, 47
bloody, 47
wet, 47
dormitory, 47
counted, 47
spiders, 47
star, 47
fowl, 47
moaning, 47
paths, 47
vengeance, 47
heir, 47
ashes, 47
bury, 47
rachel, 47
mischief, 47
pestilence, 47
uttermost, 47
gladness, 47
needy, 47
jesse, 47
forced, 46
closer, 46
surprised, 46
surface, 46
meant, 46
unless, 46
stomach, 46
expression, 46
weasleys, 46
sand, 46
laughing, 46
mention, 46
astonished, 46
roared, 46
indignation, 46
points, 46
howl, 46
catch, 46
shining, 46
seamus, 46
force, 46
107, 46
elves, 46
often, 46
dance, 46
board, 46
teaching, 46
punishment, 46
greatest, 46
lands, 46
goest, 46
tidings, 46
bands, 46
sackcloth, 46
interpretation, 46
shepherd, 46
snare, 46
repent, 46
keepeth, 46
rebuke, 46
desolation, 46
roof, 45
bodies, 45
needed, 45
powerful, 45
decided, 45
putting, 45
somewhere, 45
hasn, 45
breakfast, 45
gleaming, 45
shortly, 45
furiously, 45
afternoon, 45
glanced, 45
charm, 45
fed, 45
inner, 45
christmas, 45
wondered, 45
speed, 45
heavily, 45
teacher, 45
bell, 45
particularly, 45
fools, 45
taste, 45
authority, 45
restore, 45
weeping, 45
doest, 45
cubit, 45
perpetual, 45
handmaid, 45
towns, 45
